Display_Name,DB_Entry
LAX,US/Pacific
IAD,US/Eastern
GRU,America/Sao_Paulo
UTC,UTC
LHR,Europe/London
FCO,Europe/Rome
BOM,Asia/Calcutta
NRT,Asia/Tokyo
SYD,Australia/Sydney
